"Account Name","Logo URL","Website","Product Name","Related To","Purchase History Name","Install Date","Status","Usage End Date","Purchase Date","Purchase History Purchase History"
"LTSI","","https://ltsi.linuxfoundation.org/","Associate Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","LTSI - The Linux Foundation - Associate Membership - 2020","2/1/2020","Active","12/31/2020","1/29/2020","The Linux Foundation Associate Membership"
"Open Networking Foundation","","http://www.opennetworking.org","Associate Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","Open Networking Foundation - The Linux Foundation - Associate Membership - 2020","1/1/2020","Active","12/31/2020","11/23/2019","The Linux Foundation Associate Membership"
"ISSIP","","","Associate Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","ISSIP - The Linux Foundation - Associate Membership - 2020","1/1/2020","Active","12/31/2020","1/15/2020","The Linux Foundation Associate Membership"
"Internet2","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/internet2.svg","www.internet2.edu","Associate Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","Internet2 - The Linux Foundation - Associate Membership - 2020","1/1/2020","Active","12/31/2020","11/24/2019","The Linux Foundation Associate Membership"
"Open Source Technology Improvement Fund, Inc.","","www.ostif.org","Associate Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","Open Source Technology Improvement Fund, Inc. - The Linux Foundation - Associate Membership - 2020","2/1/2020","Active","1/31/2021","1/29/2020","The Linux Foundation Associate Membership"
"Blender Foundation","","www.blender.org","Associate Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","Blender Foundation - The Linux Foundation - Associate Membership - 2020","1/1/2020","Active","12/31/2020","11/22/2019","The Linux Foundation Associate Membership"
"University of New Mexico","","http://www.unm.edu","Associate Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","University of New Mexico - The Linux Foundation - Associate Membership - 2020","1/1/2020","Active","12/31/2020","11/20/2019","2018 The Linux Foundation Associate Membership"
"University of Wolverhampton","","www.wlv.ac.uk","Associate Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","University of Wolverhampton - The Linux Foundation - Associate Membership - 2020","1/1/2020","Active","12/31/2020","11/22/2019","The Linux Foundation Associate Membership"
"INSTITUTE FOR INFORMATION INDUSTRY","","www.iii.org.tw","Associate Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","INSTITUTE FOR INFORMATION INDUSTRY - The Linux Foundation - Associate Membership - 2020","1/1/2020","Active","12/31/2020","11/23/2019","The Linux Foundation Associate Membership"
"Tecnalia Corporation","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/tecnalia-corporation.svg","www.tecnalia.com","Associate Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","Tecnalia Corporation - The Linux Foundation - Associate Membership - 2020","1/1/2020","Active","12/31/2020","11/24/2019","The Linux Foundation Associate Membership"
"Infrastructure Masons","","","Associate Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","Infrastructure Masons - The Linux Foundation - Associate Membership - 2020","2/1/2020","Active","12/31/2020","1/29/2020","The Linux Foundation Associate Membership"
"(NUST) National University of Science & Technology","","http://www.nust.ac.zw","Associate Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","(NUST) National University of Science & Technology - The Linux Foundation - Associate Membership - 2020","1/1/2020","Active","12/31/2020","11/22/2019","The Linux Foundation Associate Membership"
"Peking University","","","Associate Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","Peking University - The Linux Foundation - Associate Membership - 2020","1/1/2020","Active","12/31/2020","11/24/2019","The Linux Foundation Associate Membership"
"Substra Foundation","","www.substra.org","Associate Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","Substra Foundation - The Linux Foundation - Associate Membership - 2019","12/1/2019","Active","11/30/2020","11/21/2019","2019 The Linux Foundation Associate Membership"
"Fraunhofer Gesellschaft e.V.","","www.fraunhofer.de","Associate Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","Fraunhofer Gesellschaft e.V. - The Linux Foundation - Associate Membership - 2019","4/1/2019","Active","3/31/2020","3/20/2019","2019 The Linux Foundation Associate Membership"
"Arizona State University","","http://www.asu.edu","Associate Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","Arizona State University - The Linux Foundation - Associate Membership - 2019","5/1/2019","Active","4/30/2020","4/19/2019","2019 The Linux Foundation Associate Membership"
"Portland State University","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/portland-state-university.svg","https://www.pdx.edu/","Associate Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","Portland State University - The Linux Foundation - Associate Membership - 2019","5/1/2019","Active","4/30/2020","4/26/2019","2019 The Linux Foundation Associate Membership"
"The LIONS Center - The Pennsylvania State University","","https://cybersecurity.ist.psu.edu/index.php","Associate Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","The LIONS Center - The Linux Foundation - Associate Membership - 2019","5/1/2019","Active","4/30/2020","4/30/2019","2019 The Linux Foundation Associate Membership"
"Emirates College of Technology, Abu Dhabi","","www.ect.ac.ae","Associate Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","Emirates College of Technology, Abu Dhabi - The Linux Foundation - Associate Membership - 2019","6/1/2019","Active","5/31/2020","5/23/2019","2019 The Linux Foundation Associate Membership"
"Ethereum Foundation","","https://www.ethereum.org/","Associate Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","Ethereum Foundation - The Linux Foundation - Associate Membership - 2019","6/1/2019","Active","5/31/2020","6/4/2019","2019 The Linux Foundation Associate Membership"
"University of Nicosia","","www.unic.ac.cy","Associate Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","University of Nicosia - The Linux Foundation - Associate Membership - 2019","7/1/2019","Active","6/30/2020","7/8/2019","2019 The Linux Foundation Associate Membership"
"MovieLabs","","http://www.movielabs.com","Associate Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","MovieLabs - The Linux Foundation - Associate Membership - 2019","8/1/2019","Active","7/31/2020","7/17/2019","The Linux Foundation Associate Membership"
"CinePaint","","http://cinepaint.org","Associate Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","CinePaint - The Linux Foundation - Associate Membership - 2019","9/1/2019","Active","8/31/2020","9/5/2019","The Linux Foundation Associate Membership"
"Living Open Source Foundation","","www.livingopensource.net","Associate Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","Living Open Source Foundation - The Linux Foundation - Associate Membership - 2019","9/1/2019","Active","8/31/2020","9/10/2019","2019 The Linux Foundation Associate Membership"
"American Red Cross","","http://www.redcross.org","Associate Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","American Red Cross - The Linux Foundation - Associate Membership - 2019","8/1/2019","Active","7/31/2020","6/30/2019","The Linux Foundation Associate Membership"
"IOTA Foundation","","","Associate Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","IOTA Foundation - The Linux Foundation - Associate Membership - 2019","9/1/2019","Active","8/31/2020","9/13/2019","2019 The Linux Foundation Associate Membership"
"University of Washington Information Technology (UW-IT)","","www.uwit.com","Associate Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","University of Washington Information Technology (UW-IT) - The Linux Foundation - Associate Membership - 2019","9/1/2019","Active","8/31/2020","8/15/2019","2019 The Linux Foundation Associate Membership"
"Collegium Da Vinci","","www.cdv.pl","Associate Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","Collegium Da Vinci - The Linux Foundation - Associate Membership - 2019","9/1/2019","Active","8/31/2020","8/19/2019","2019 The Linux Foundation Associate Membership"
"Stanford University","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/stanford-university.svg","www.stanford.edu","Associate Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","Stanford University - The Linux Foundation - Associate Membership - 2019","3/1/2019","Active","2/29/2020","3/6/2019","2019 The Linux Foundation Associate Membership"
"Energy Foundation","","www.ef.org","Associate Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","Energy Foundation - The Linux Foundation - Associate Membership - 2019","4/1/2019","Active","3/31/2020","3/19/2019","2019 The Linux Foundation Associate Membership"
"ENTSO-E (European Network of Transmission System Operators)","","https://www.entsoe.eu/","Associate Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","ENTSO-E (European Network of Transmission System Operators) - The Linux Foundation - Associate Membership - 2019","3/1/2019","Active","2/29/2020","3/13/2019","2019 The Linux Foundation Associate Membership"
"Kodi Foundation","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/kodi-foundation.svg","www.kodi.tv","Associate Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","Kodi Foundation - The Linux Foundation - Associate Membership - 2019","3/1/2019","Active","2/29/2020","3/8/2019","2019 The Linux Foundation Associate Membership"
"NHSX","","www.nhs.net","Associate Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","NHSX - The Linux Foundation - Associate Membership - 2019","4/1/2019","Active","3/31/2020","4/1/2019","2019 The Linux Foundation Associate Membership"
"Elering AS","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/elering-as.svg","http://www.elering.ee/en","Associate Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","Elering AS - The Linux Foundation - Associate Membership - 2019","4/1/2019","Active","3/31/2020","4/9/2019","2019 The Linux Foundation Associate Membership"
"EPFL","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/epfl.svg","www.epfl.ch","Associate Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","EPFL - The Linux Foundation - Associate Membership - 2019","4/1/2019","Active","3/31/2020","4/4/2019","2019 The Linux Foundation Associate Membership"
"Eclipse Foundation, Inc.","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/eclipse-foundation-inc.svg","www.eclipse-foundation.org","Associate Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","Eclipse Foundation, Inc. - The Linux Foundation - Associate Membership - 2019","4/1/2019","Active","3/31/2020","4/4/2019","2019 The Linux Foundation Associate Membership"
"High School Technology Services","","https://myhsts.org","Associate Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","High School Technology Services - The Linux Foundation - Associate Membership - 2019","5/1/2019","Active","4/30/2020","4/19/2019","2019 The Linux Foundation Associate Membership"
"Netaji Subhash Engineering College","","www.nsecollege.org/","Associate Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","Netaji Subhash Engineering College - The Linux Foundation - Associate Membership - 2019","5/1/2019","Active","4/30/2020","5/1/2019","2019 The Linux Foundation Associate Membership"
"University College London","","","Associate Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","University College London - The Linux Foundation - Associate Membership - 2019","5/1/2019","Active","4/30/2020","5/3/2019","2019 The Linux Foundation Associate Membership"
"Reutlingen University","","www.reutlingen-university.de","Associate Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","Reutlingen University - The Linux Foundation - Associate Membership - 2019","6/1/2019","Active","5/31/2020","5/22/2019","2019 The Linux Foundation Associate Membership"
"United Nations (International Computing Centre)","","http://www.unicc.org","Associate Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","United Nations (International Computing Centre) - The Linux Foundation - Associate Membership - 2019","6/1/2019","Active","5/31/2020","5/22/2018","2019 The Linux Foundation Associate Membership"
"GS1 US","","https://www.gs1us.org/","Associate Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","GS1 US - The Linux Foundation - Associate Membership - 2019","6/1/2019","Active","5/31/2020","6/11/2019","2019 The Linux Foundation Associate Membership"
"Telecommunications Technology Association","","http://","Associate Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","Telecommunications Technology Association - The Linux Foundation - Associate Membership - 2019","6/1/2019","Active","5/31/2020","6/14/2019","The Linux Foundation Associate Membership"
"UC San Diego","","http://ucsd.edu","Associate Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","UC San Diego - The Linux Foundation - Associate Membership - 2019","8/1/2019","Active","7/31/2020","9/23/2019","The Linux Foundation Associate Membership"
"Munich University of Applied Sciences","","www.hm.edu","Associate Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","Munich University of Applied Sciences - The Linux Foundation - Associate Membership - 2019","9/1/2019","Active","8/31/2020","7/19/2019","The Linux Foundation Associate Membership"
"University of Tennessee, Knoxville","","http://www.utk.edu","Associate Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","University of Tennessee, Knoxville - The Linux Foundation - Associate Membership - 2019","8/1/2019","Active","7/31/2020","7/31/2019","The Linux Foundation Associate Membership"
"IT Corner Poland","","","Associate Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","IT Corner Poland - The Linux Foundation - Associate Membership - 2019","9/1/2019","Active","8/31/2020","8/15/2019","2019 The Linux Foundation Associate Membership"
"SWITCH","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/switch.svg","www.switch.ch","Associate Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","SWITCH - The Linux Foundation - Associate Membership - 2019","6/1/2019","Active","5/31/2020","6/7/2019","2019 The Linux Foundation Associate Membership"
"Western University","","http://www.uwo.ca","Associate Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","Western University - The Linux Foundation - Associate Membership - 2019","7/1/2019","Active","6/30/2020","6/28/2019","The Linux Foundation Associate Membership"
"Budapest University of Technology and Economics","","www.mit.bme.hu","Associate Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","Budapest University of Technology and Economics - The Linux Foundation - Associate Membership - 2020","1/1/2020","Active","12/31/2020","11/23/2019","The Linux Foundation Associate Membership"
"Blockchain at Berkeley","https://lf-master-organization-logos-prod.s3.us-east-2.amazonaws.com/blockchain-at-berkeley.svg","www.blockchain.berkeley.edu","Associate Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","Blockchain at Berkeley - The Linux Foundation - Associate Membership - 2020","1/1/2020","Active","12/31/2020","11/24/2019","The Linux Foundation Associate Membership"
"University of Kassel","","https://www.uni-kassel.de/","Associate Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","University of Kassel - The Linux Foundation - Associate Membership - 2020","1/1/2020","Active","12/31/2020","11/23/2019","The Linux Foundation Associate Membership"
"The Alan Turing Institute","","","Associate Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","The Alan Turing Institute - The Linux Foundation - Associate Membership - 2019","12/1/2019","Active","11/30/2020","12/11/2019","The Linux Foundation Associate Membership"
"SDN/NFV Industry Alliance","","http://www.caict.ac.cn","Associate Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","SDN/NFV Industry Alliance - The Linux Foundation - Associate Membership - 2020","1/1/2020","Active","12/31/2020","11/23/2019","The Linux Foundation Associate Membership"
"Beijing University of Posts and Telecommunications (BUPT)","","www.bupt.edu.cn","Associate Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","Beijing University of Posts and Telecommunications (BUPT) - The Linux Foundation - Associate Membership - 2020","1/1/2020","Active","12/31/2020","11/23/2019","The Linux Foundation Associate Membership"
"AAIS (American Association of Insurance Services)","","https://www.aaisonline.com/","Associate Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","AAIS (American Association of Insurance Services) - The Linux Foundation - Associate Membership - 2020","1/1/2020","Active","12/31/2020","11/24/2019","The Linux Foundation Associate Membership"
"Penn Blockchain Club","","http://pennblockchain.com","Associate Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","Penn Blockchain Club - The Linux Foundation - Associate Membership - 2020","1/1/2020","Active","12/31/2020","11/23/2019","The Linux Foundation Associate Membership"
"Alliander","","www.alliander.com","Associate Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","Alliander - The Linux Foundation - Associate Membership - 2019","10/1/2019","Active","9/30/2020","9/27/2019","The Linux Foundation Associate Membership"
"Rutgers University","","http://","Associate Membership","<a href=""/a0941000002wBz9"" target=""_top"">The Linux Foundation</a>","Rutgers University - The Linux Foundation - Associate Membership - 2020","1/1/2020","Active","12/31/2020","11/22/2019","The Linux Foundation Associate Membership"
